Pool,Size
Betsy Head,54450
Adelphi,800
Lindower Mill Basin,800
Jesse Owens JHS 57,800
Glenwood,800
David Fox,800
McCarren,49679
Sunset,41958
Red Hook,44150
Kosciusko,25184
Howard,5100
Douglas Degraw,5076
Commodore Barry,5076
Bushwick,5100
Claremont,5076
Edenwald Houses,800
Crotona,39600
Floating Pool,4264
Haffen,5076
Mapes,5229
Mullaly,5076
Van Cortlandt,19360
Bronx River Plgd,800
Asser Levy,6441.75
Dapolito,6645
Dry Dock,5100
Hamilton Fish,22736
Highbridge,55880
Jackie Robinson,19270
John Jay,9505
Lasker,46520.75
Marcus Garvey,12375
Sheltering Arms,5100
Thomas Jefferson,27839
Wagner,5076
Abe Lincoln,800
Fred Douglass,800
Vesuvio,800
Tompkins Sq,800
Astoria,54450
Fisher,4900
Liberty,4900
Fort Totten,4539
Marie Curie,800
Astoria Hts PS 10,54450
Castlewood PS 186,800
Windmuller,800
Faber,10640
Lyons,16500
Tottenville,5076
West Brighton,5076
MacArthur,49679
Mariner's Harbor,800
P.S. 14,800
P.S. 46,800
